bid,btype,dated,trsource,destination,trip,route,pcount,snum,adults,child,revenue
426,KSRTC,01-01-20,Mandya,Hassan,3,1,57,2,45,11,3201
1610,KSRTC,01-01-20,Raichur,Shivamogga,5,4,60,6,48,12,4055
5374,KSRTC,01-01-20,Dharwad,Hassan,1,4,58,6,46,11,3006
8210,KSRTC,01-01-20,Belagavi,Haveri,3,8,55,7,44,11,4401
12538,KSRTC,01-01-20,Davangere,Belagavi,4,4,55,2,44,11,4332
13305,KSRTC,01-01-20,Ramanagara,Bagalkot,4,4,55,7,44,11,4112
16494,KSRTC,01-01-20,Gadag,Belagavi,5,3,56,2,44,11,3118
18321,KSRTC,01-01-20,Haveri,Kodagu,3,8,56,8,44,11,3071
18727,KSRTC,01-01-20,Koppal,Tumakuru,4,8,58,4,46,11,3964
19055,KSRTC,01-01-20,Dharwad,Bagalkot,3,1,55,2,44,11,3311
19144,KSRTC,01-01-20,Kodagu,Kolar,5,2,55,4,44,11,3335
20562,KSRTC,01-01-20,Karwar,Bijapur,4,6,60,6,48,12,3184
23167,KSRTC,01-01-20,Kolar,Haveri,3,8,58,7,46,11,4005
23752,KSRTC,01-01-20,Davangere,Bengaluru,1,4,55,7,44,11,3004
27076,KSRTC,01-01-20,Udupi,Koppal,2,9,58,5,46,11,4306
27307,KSRTC,01-01-20,Chamarajanagar,Davangere,5,5,59,3,47,11,3755
27919,KSRTC,01-01-20,Haveri,Tumakuru,1,7,60,1,48,12,3749
28347,KSRTC,01-01-20,Belagavi,Shivamogga,5,1,59,6,47,11,3776
28416,KSRTC,01-01-20,Kolar,Bagalkot,4,6,57,6,45,11,3827
29918,KSRTC,01-01-20,Gulbarga,Karwar,3,7,57,4,45,11,4124
31998,KSRTC,01-01-20,Bengaluru,Chamarajanagar,2,6,58,7,46,11,4167
33749,KSRTC,01-01-20,Belagavi,Chikkamagaluru,1,4,58,4,46,11,4282
35011,KSRTC,01-01-20,Ramanagara,Udupi,4,7,55,7,44,11,4326
38724,KSRTC,01-01-20,Gadag,Kodagu,2,8,58,7,46,11,4067
45800,KSRTC,01-01-20,Kodagu,Haveri,3,9,59,8,47,11,4157
47041,KSRTC,01-01-20,Kolar,Bijapur,1,4,57,1,45,11,4019
47494,KSRTC,01-01-20,Bengaluru,Kodagu,1,1,57,4,45,11,3738
49316,KSRTC,01-01-20,Bengaluru,Raichur,3,4,55,4,44,11,4396
53999,KSRTC,01-01-20,Raichur,Gulbarga,3,2,59,8,47,11,3035
57967,KSRTC,01-01-20,Dharwad,Bengaluru,3,4,56,2,44,11,4408
61350,KSRTC,01-01-20,Dharwad,Ramanagara,4,3,59,4,47,11,4227
62223,KSRTC,01-01-20,Chikkamagaluru,Ballari,4,5,60,2,48,12,4340
63295,KSRTC,01-01-20,Shivamogga,Haveri,1,9,58,3,46,11,3348
64249,KSRTC,01-01-20,Raichur,Bijapur,1,5,55,3,44,11,4283
64835,KSRTC,01-01-20,DakshinaKannada,Kolar,5,6,55,5,44,11,3234
69571,KSRTC,01-01-20,Mysuru,Mysuru,3,1,56,2,44,11,3845
70606,KSRTC,01-01-20,Gulbarga,Gulbarga,3,3,55,5,44,11,3206
71572,KSRTC,01-01-20,Mandya,Chikballapur,1,6,55,7,44,11,3402
72974,KSRTC,01-01-20,Haveri,Ramanagara,4,4,58,2,46,11,3546
73677,KSRTC,01-01-20,Davangere,Chikkamagaluru,3,9,55,2,44,11,3221
74093,KSRTC,01-01-20,Udupi,Dharwad,2,6,55,7,44,11,3300
74439,KSRTC,01-01-20,Mandya,Bagalkot,3,8,59,1,47,11,3307
75573,KSRTC,01-01-20,Bijapur,Chikkamagaluru,1,7,57,4,45,11,3318
78885,KSRTC,01-01-20,Kodagu,Yadgir,3,9,60,6,48,12,3808
